single,network,copay,in_deductible,in_coins,in_moop,out_deductible,out_coins,out_moop,pharamacy,name
631.35,Metro,$35/$50,$3500/$7000,70%,$6750/$13500,N/A,N/A,N/A,$10/65/50% to $800 D3500 O6750,MTRO GT 35-50-3500-70 EPO HSA 20 SILVER NS INN DEP25
631.35,Metro,$35/$50,$3500/$7000,70%,$6750/$13500,N/A,N/A,N/A,$10/65/50% to $800 D3500 O6750,NY S MTRO GT 35-50-3500-70 EPO HSA 20
684.72,Liberty,N/A,$6750/$13500,100%,$6750/$13500,N/A,N/A,N/A,100% all tiers D6750 O6750,NY B LBTY NG 6750-100 EPO HSA 20
686.51,Metro,$30/$80,$3000/$6000,70%,$8150/$16300,N/A,N/A,N/A,$10/65/90 D100 O8150/16300,MTRO GT 30-80-3000-70 EPO 20 SILVER NS INN DEP25
686.51,Metro,$30/$80,$3000/$6000,70%,$8150/$16300,N/A,N/A,N/A,$10/65/90 D100 O8150/16300,NY S MTRO GT 30-80-3000-70 EPO 20
695.44,Liberty,N/A,$5500/$11000,70%,$6700/$13400,N/A,N/A,N/A,$10/40/80  D5500 O6700,NY B LBTY NG 5500-70 EPO HSA 20
706.32,Liberty,$25/$75,$4000/$8000,70%,$6750/$13500,N/A,N/A,N/A,30%/30%/30% D4000 O6750,NY B LBTY NG 25-75-4000-70 EPO HSA 20
709.89,Metro,$30/$80,$3000/$6000,70%,$8150/$16300,N/A,N/A,N/A,$10/65/90 D100 O8150/16300,MTRO NG 30-80-3000-70 EPO ME 20 SILVER NS INN DEP25
709.89,Metro,$30/$80,$3000/$6000,70%,$8150/$16300,N/A,N/A,N/A,$10/65/90 D100 O8150/16300,NY S MTRO NG 30-80-3000-70 EPO ME 20
742.89,Liberty,$30/$60,$6000/$12000,80%,$6550/$13100,$10000/$20000,80%,$25000/$50000,$15/35/75 D6000 O6550,NY B LBTY NG 30-60-6000-80 PPO HSA 20
750.46,Freedom,N/A,$5500/$11000,70%,$6700/$13400,N/A,N/A,N/A,$10/40/80  D5500 O6700,NY B FRDM NG 5500-70 EPO HSA 20
782.94,Liberty,$25/$50,$3500/$7000,50%,$8150/$16300,N/A,N/A,N/A,$15/65/85 D100 O8150/16300,NY S LBTY GT 25-50-3500-50 EPO 20
795.93,Liberty,$30/$75,$3000/$6000,60%,$8150/$16300,N/A,N/A,N/A,$15/65/50% to $800 D100 O8150/16300,NY S LBTY NG 30-75-3000-60 EPO 20
815.21,Metro,$50/$100,N/A,100%,$8150/$16300,N/A,N/A,N/A,$15/65/90 D100 O8150/16300,MTRO NG 50-100-100 EPO ZD 20 SILVER NS INN DEP25
815.21,Metro,$50/$100,N/A,100%,$8150/$16300,N/A,N/A,N/A,$15/65/90 D100 O8150/16300,NY S MTRO NG 50-100-100 EPO ZD 20
817.11,Liberty,$40/$70,$2500/$5000,65%,$8150/$16300,N/A,N/A,N/A,$15/45/75 D200 O8150/16300,NY S LBTY NG 40-70-2500-65 EPO 20
822.11,Metro,$25/$40,$1250/$2500,80%,$5500/$11000,N/A,N/A,N/A,$10/65/90  D100 O5500/11000,MTRO GT 25-40-1250-80 EPO 20 GOLD NS INN DEP25
822.11,Metro,$25/$40,$1250/$2500,80%,$5500/$11000,N/A,N/A,N/A,$10/65/90  D100 O5500/11000,NY G MTRO GT 25-40-1250-80 EPO 20
824.96,Liberty,$25/$50,$2000/$4000,80%,$6400/$12800,N/A,N/A,N/A,$15/35/75 D2000 O6400,NY S LBTY NG 25-50-2000-80 EPO HSA 20
